,username,comment
93,翡Garden,真心感謝TOYZ!!居然說出每個人不敢說的秘密
94,克里斯,個人認為椅子利潤應該更高一點，如果水電牛奶漲價，最低薪資也提高之類的，才比較可以撐下去而不是需要常常跟隨物價上調。
95,馬Tonight,"我帶老婆下午四點半排隊到7點半任務完成與Toyz合照拿到簽名就心滿意足啦
飲料我喝“甘蔗青茶”，老婆喝：“綠茶凍梅露”，我們都給十分滿分評價～好喝
Toyz：你辛苦了。祝您們業績長虹，財源滾滾啊"
96,榮光精神病院班尼,Toyz早就預判到爺爺會爆料飲料市場的黑暗面，直播時就說明過一輪，現在剪成精華回應剛剛好
97,吉備白琴,我覺得沒有TOYZ說的這麼簡單，但身為常喝手搖飲的來說還是希望樂觀其成，畢竟現在飲料真的越來越貴了
98,飄,"10年椅粉報到,撇開所有外在因素,椅子真的是鬼才"
99,司馬懿仲達,我是南投名間人，感謝Toyz原物料願意跑那麼遠的地方採購，如果中部這邊有開加盟店的話，一定會買來喝！
100,張恩碩,推行銷理念，這十幾年台灣手搖飲漲價漲得有點誇張，大品牌一漲其他牌子跟著漲價，希望toyz的飲料店能為台灣的手搖飲市場帶來一些衝擊
101,WEITE,"可惜不在內湖
好想支持toyz一波
等衣服好了"
102,Jaky A,"也許現在的各大品牌手搖飲，起初也秉持Toyz的理念，但後來品牌擴大後人事.管理等技術其他成本增加，不得不從賣給加盟主開始疊加，來為維持一定品質

純屬個人見解，歡迎糾正"
103,阿軒,"因為加盟金而導致市場價格提升, 所以自己的品牌少了中間被疊價的情況所以可以將價格拉低, 試問那誰能解釋一下滴妹也是自己的品牌那它的價格怎麼也那麼高, 所以若是TOYZ的飲料原物料真的那麼實在, 那真的他的價錢真的很佛心"
104,男人的視角 Vision of the Man,"貴是因為其他加盟品牌的訂價策略，並不是茶葉成本。
椅子使用好一點的原物料的確可取，但開店最高的成本還是在人事及店租上。平價飲料如果量沒衝上來很容易會g掉。"
105,洪瑞呈,信義區這邊的陳零久開的久茶真的就超難喝而且又很貴，完全就是典型名人飲料店，希望椅子分店開天遍
106,甘雨滿命,椅子如果愛自己，請在未來持續監督品牌品質，不要搞砸自己招牌。然後我有經過一定去喝，現在有點遠
107,黃利閒,"Toyz真男人
試營運沒辦法北上，有時間過去台北肯定要去買來喝
不是貪便宜，是喜歡喝好茶"
108,age Win,其實對市場衝擊不大，因為店太少激不起多少浪花。但還是給椅子一個讚，羨慕台北的朋友。
109,靳閔傑,不管好不好喝    椅子開店必須支持!!
110,Alex Ciou,椅子哥太猛啦！！！不愧是要打倒整個飲料圈的男人，身為男人就是要以身作則，優先讓自己的飲料店率先拆除～我對你的佩服猶如滔滔江水綿綿不絕阿～
111,SY C,很愛吃雞排 很想知道現在一片雞排 賣80 95 甚至105 是不是真的那麼貴 希望toyz可以找出真相 找回10年前一片還吃得到60的價格
112,ttwbryant101,"你在改變台灣長久來高價手搖飲的謬思。Toyz, 雖然你有許多爭議的地方，但這件事你秉持良心去做，希望台灣人民能回到最合理價格的初衷，我們大家謝謝你，也希望你能持續下去。"
113,柯建宇,"先說不賺原物料這塊，因為椅子沒有""總部營運成本"" (原料運送 定期廣告行銷 行政會計 現場督導  總部房租 等..)，大品牌有總部營運成本，是一定需要靠原物料獲利來賺錢養總部。
再來加盟金，一個新的飲料品牌，除了有形的店面成本外，要再另花大筆的行銷費去曝光的，那一開始做品牌的這些行銷費，會透過""加盟金""這塊去賺回來。"
114,Bruce,"身為前清心員工，我一直以為30塊的純茶已經蠻便宜了
看到椅子還能賣到25 佛爆"
115,Penguin Y,"還沒看影片先說！今天去排隊了！真的能跟大品牌抗衡！這個價格我可以天天喝了！
還跟椅子拍到照！！此生無憾

只是主播感覺跟妹拍照笑得比較開心"
116,JunyuLin,影片的最後應該發不自殺聲明，這麼好的理念卻會斷很多人的財路，希望TOYZ好好地堅持下去！加油
117,guan yu chen,建議椅子還是要算好成本控管，手搖店大部份都是被店租人事成本打敗的，不過大叔我經過一定都會來一杯的！！！
118,輕描淡寫,果然我們的椅子特別懂葉子
119,sea Kiven,toyz應該要開始考慮，敵人們的聯合攻擊，接下來長時間生存才是最重要方向
120,平峰,我是真心想支持 但西湖站真的太遙遠 那天去還排滿滿的人 都沒機會點上一杯~  希望toyz第一站加盟店可以開在三蘆新板 這四個地方...  我相信支持的人很多~~
121,耕田的貓,其實台灣飲料加盟有固定幾個團隊一直在重複創品牌來讓嚮往創業的人跳進去，然後一直循環這手法，每年加盟展的新舊品牌都可以找到一些線索，希望椅子說的這個團隊不是我聽到的這種，也是現在飲料店潮流是以網紅明星的名氣為賣點所以才會有這契機，但總是會擔心。
122,Jim chen,椅子就算靠自己的名氣去開飲料店暴利也會賣翻，不過一心只想當公道伯，支持拉
123,duck,這營運模式對品牌跟消費者都是好事穩賺不賠 但對加盟者來說有店租、原物料上漲、toyz入獄後的行銷等不確定因素
124,ZhouZ,茶葉買的比人家頂 飲料卻賣的比人家便宜 改天有空我也要去喝看看支持支持 希望Toyz的店可以得到更多人的支持
125,小鬼,當然要買杯珍珠鮮奶茶後再來打LOL有Toyz飲料加持一定上分
126,威忠,那些加盟主多付給品牌的就是(美其名)牌子 營運模式和行銷費，行銷這一塊這次由椅子吸收了，這次幕後營運藉由椅子創立了一個全新品牌，一定是算過還有利潤的，一開始犧牲一些，之後就是要做出店多薄利多銷才有賺頭，總之是一片美意，就喜歡這整個團隊能否一直堅持初衷了ps這團隊敢投資一點在椅子身上目前來看也是有點慧眼識英雄啊！
127,午夜的大叔,"個人有一些隱憂見解
像是違建、便宜、開放加盟、開店選址
違規的部分能改善還好說，但是做生意的經驗
究竟是揭露別人噱價還是會做到賠錢的生意菜鳥，就是替椅子擔心的地方"
128,渺 飄,TOYZ加油 一切盡在不言中
129,阮上豪,希望椅子可以順利成功闖出手搖飲的一片天，真的很喜歡你的作品
130,紋,"疊不到30%真的蠻佛心的 ,  只是如果未來擴大經營, 賣的杯數增加, 應該還是會要升到30%左右比較好一點 , 所以 Toyz 只是負責宣傳就是了 , 不點進來看,還以為是你開的 XD"
131,小吳,"各位追蹤起來 Toyz 根本是大家買飲料的救星 ，現在外面飲料賣的貴的跟什麼一樣 
不如買Toyz的飲料好喝又便宜 讚"
132,海郎,"哭啊中路冠軍來賣飲料
都想搬到台北去朝聖了
祝toyz 可以擴展成連鎖店"
133,蜜蜂,"只能說太狠 太厲害了
不愧是椅子 加油！"
134,Yanzong Chen,認真做事的椅子真的好強
135,ka bila pxi,強烈建議不要把椅子抓進去關了，多做些造福社會的事，比讓鬼才進去關更有意義
136,帥到魅力無法擋,幹 講的真好 現在飲料店幾乎每間都貴到一個靠北 一杯飲料可以買一個便當 有夠扯 越來越欣賞椅子 有機會一定要去買買看 看是不是唬爛 哈哈哈
137,Scott,TOYZ讚啦 台灣飲料店價格 就靠你了
138,MrCARISSAXLOVE,如果影片說的是真的 現在飲品那麼貴是因為其中一方疊價弄的 那麼看來是賺很兇 其他食品衣物都漲價了 看來是大品牌公司他們在弄小市民明明原物料沒漲那麼多但加了那麼多 希望TOYZ能夠在手搖站穩了 再去弄食品衣物之類打破他們大公司的貪念
139,Frankie Fong,小劉真的牛逼 就沖你夠膽全部公開透明 就已經想加盟了
140,Y,天哪 那些飲料店全部在握拳頭了 椅子要保重 但是哪天路過沒在排隊的話 一定會買  （還是不想大排隊）
141,李虔鋐,"這邊想問一下 我看到最後看到珍珠製成的時候
椅子要如何去控管加盟店對於飲料的品質以及製程的標準呢？
畢竟如果便宜好喝 卻只有總店的口味保持一致的話也會很難生存下去 
想問下椅子 非常感謝"
142,Yao Yao,想看toyz 盲測青茶 看能不能喝出品質比較好的
143,dan,Toyz一定要撐下去，不要被肌肉棒子看笑話
144,小淵,超猛 椅子這波真的大勝 我已經預期手搖飲要大風吹了 狂
145,昆彥,"製成效率提高確實能提升營收，但來客數能穩定才是最大的考驗，飲料業市場是很競爭的。
至於毛利率方面，如果單日杯數沒有達到椅子所說的數量，人事、店租的成本就無法被高額的營收稀釋，毛利率也會跟著下降。"
146,Haochun Kao,"聽到TOYZ的初衷是想讓台灣人不要騙錢真是令人痛哭流涕
那你之前怎麼會想騙朋友錢"
147,來自基隆的OH,"我已經13年不喝 手搖飲
因為知道根本 太貴 
如果椅子 能因此撼動手搖飲的價格
看來是可以來嚐嚐了"
148,Neil C,周六就去試看看，一直都有在看椅子的美食公道伯，很好奇在椅子要求下這茶的味道
149,小吳,"其他飲料店都當我們消費者是盤子啊！！！ 
擊敗 以後只喝Toyz的飲料店 
兄弟們，大家一起加盟  支持！！！"
150,張峻瑋,椅子這樣不會擋到其它加盟品牌的財路嗎XD？現在自己有加盟賣蔥油餅，日後再考慮加盟這個在台中開
151,Vincent,"這邊學產品管理跟食材採購的來講一下話應該沒問題吧

產品的原物料大量採購後其實最貴的不外乎人事成本以及房租和其他固定成本及我們最容易忽視的隱形成本機器維修等等長期展店勢必每天都要要賺夠從原物料人士等平均分攤下來的費用，我認為一份餐點例如早餐店:火腿蛋吐司，成本有瓦斯費、房租、食材、人士等等我這裡看到一份大約是30-35，目前早餐店一籃蛋批發價粗略估計1040好了，大量進購肯定更便宜，我們算一顆蛋要5塊錢，但這是現在的價格，在以前火腿蛋吐司的購買價格是可以到25就能買到了，所以你說老闆好賺嗎?我不著麼認為，當然Toyz開的是最好賺的飲料店哈哈，我自己有進貨過相關食材，原物料很便宜，但貴的是機器、房租、人事成本，店家也不是良心企業都是要賺錢的，但爺爺有點太誇張了，一個220便當還說很大碗吃不完，我就想問，這樣不就等於吃隔夜飯，再來如果忘記就要丟掉，而且都著麼貴了食材包裝還用塑膠= =  明明有更好的環保設計，算了就當我不懂吧。"
152,馬哥,希望多多開加盟店 支持椅子
153,亦勝 鄭,"就跟那些賣雞排的一樣 成本原料3、40塊的東西賣到快破百的雞排 ~
原來因該也是跟品牌還是加盟主在抬價有關 不然東西也是都沒那麼貴~

支持Toyz繼續下去好好賣飲料 不要在那邊嘴砲攻擊別人炒新聞 之前給人的形容確實不太好 但是這次你賣飲料我給你大大的支持~~~~"
154,曾奕維,難怪飲料店越開越多，先不說被跌價過後的加盟主很可憐，如果有人拿的茶葉價格跟椅子一樣的話，還繼續賣這麼貴的價格，真的是躺著賺了
155,Emily Ku,坐等爺爺直播….很想知道爺爺會說什麼，然後再被椅子打臉
156,有錢了,椅子是不是對西湖情有獨鍾 之前做飲料店送飲料去GRX戰隊宿舍給你也是在西湖 現在飲料店也開在西湖
157,神宮ベイル,如果店面租金也算成本的話 之後展店北部以外的縣市有機會更便宜嗎 椅子哥
158,陳威達,"Toyz講話慢慢的有憲哥的神韻
然後廖老大網紅店真的BBQ了"
159,S Chi W,賣得便宜要看毛利。現在因為椅子名氣第一間店離家遠也會去買。但有可能天天跑得遠去買嗎。再加上開放加盟有沒有限制方圓多少範圍不得重複開第二間如果沒有那就可能片地開花。從而讓消費者分散。現在一間店1200百杯可能之後更高。但若一個區域內店家過多這1200杯是否會被分化。50元的價格來說67%毛利在33.5。加盟後成本往上疊20%16.5+3.3=19.8加盟業者的成本在19.8以10間店分化後可能一間分到120杯50*120=6000。毛利在4020元。人事成本店租成本水電成本一天要多少去攤才能賺錢。人圓現在一天要6個人上班那騎馬員工人數來到10個因為大家要輪流休假。薪資方面開多少如果是3萬。勞健保加一加一個人要3萬5。10個人35萬人事成本。店租假設在10萬。水電加起來在1萬～1萬5的話再加上稅金。房屋稅金以及2代健保。電話費瓦斯費。大概固定開銷可能落在50萬一天要16666的業績才打平。折舊攤體要攤多少！攤個5萬那開一間的加盟金以及裝潢設備的金額是多少。這些都算進去那是否還能賺錢就不得而知了～
160,Reese Natalie,"我分享自己的感受~~~

我喝過中南部特大杯1000cc 紅茶只賣20元，也喝過一杯60元的紅茶，價格不代表好喝與否，只在於合不合你個人的口味，若60元的紅茶覺得好喝，那對你來說他是成功的，而Toyz紅茶，我覺得是成功的，因為我覺得好喝~ (有些紅茶茶葉帶有特殊風味，像是果香/咖啡香/麥仔香/日式紅茶等，就看個人接受度與否囉 )"
161,林羿廷,椅子真的是鬼才....根本是打不死的小強
162,sp h,"難怪這麼多網紅開飲料店,還是Toyz公道"
163,鄭智穎,給toyz一句良言，你就像諸葛亮，但諸葛亮總是叛逆出險棋，所以他最後輸給了司馬懿，不要做歹事，多作善事
164,蔡便當,椅子企劃真的很強 訂閱了 也期待能來南部
165,kung,"toyz代言的飲料.確實直接去仲介化才能拿到相對應的價格!!! 我家裡有種芒果,toyz有機會跟你合作嗎?一起來去仲介化"
166,淺不可測Fathömable,我2/27那天點了紅柚翠綠無糖少冰，非常好喝，我吸幾口就喝光了，滿足，謝謝Toyz
167,老爹水產日本進口和牛專門,當初廖老大開就讓人沒什麼想去喝，Toyz開感覺就不會令人失望。
168,楊宗庭,當初也因一個芋頭冰品飲料加盟虧過一筆錢 以飲料店來說一天至少需兩萬營業額左右才不會虧錢  以椅子一天一千杯最便宜的茶類 一天營業額2.5萬 一個月75萬 盈利67% 約50萬盈利 員工8個正值輪班加點pt不用很大的店 租金 還是都有盈利 當然如果一天一千杯而已 是不太需要到八個員工輪班pt 
169,酥修,Toyz真的強，每次都能扭轉局勢
170,尬酒螺仔,嗨椅子最近變你的粉，以前常看館長，也抖內過，最近只看你，館長之前都不錯但這次他真的過了大頭症跟碰轟自大的醜陋面露出來了⋯你的邏輯完全屌虐，越來越欣賞你
171,噹噹噹,TOYZ其實生意頭腦不錯...只要用在正當生意上絕對是有機會的..
172,律 自,感謝椅子 公開透明
173,彭子家,如果我是椅子的話 在這個風口浪尖 我可能真的不敢出門
174,xiao,小劉果然是個狠人
175,HL豪,Toyz以後開到有良心椅子夜市都不意外
176,何秉翰,"Toyz. 它只是在創造一個品牌....就像自媒體創造自己的樣子、包裝、行銷,也實測飲料市場投入的成效,算是很實際的社會實驗！當然投資沒有絕對的,後續還是要看消費者、市場接受度、還有經營者各方面的變數調整！！這次實際投入,比許多的專業教授都還有說服力,很多高階的EMBA都是花錢紙上談兵,最後再換取一張用錢買來的“專業經理人證書”,這說來還真諷剌...呵...,總之~我是希望這會是台灣之光！！"
177,Yn Su,toyz要不要自己開一期公道伯，推薦一下十九茶屋有哪些飲料推的（Ｘ
178,馮瓊儀,原來打不死的椅子是來革命
179,黃明龍,比較好奇喝完之後會不會有酥麻麻的感覺，畢竟椅子認證
180,Lannister Scarlet,台灣需要Toyz的飲料革命，跟揭穿四顆蛋一樣
181,Zen Liu,椅子的嘴跟那個好像誠懇的態度真的厲害
182,朱屁屁,這個說法是在每天生意好到爆炸 客源多到爆 不然租金跟人事成本 還是吃非常重  要開店的人必須要想到這點 但是椅子這個做法有想要開店的可以嘗試
183,平常心,太真材實料了啦，toyz台中等你要喝爆
184,ccyang,「他的道歉一直都很有誠懇。他每次做了一些我們不能接受的事情的時候，他的道歉都會讓我們覺得他下次絕對不會再這麼幹。但是每次，他下次就又這麼幹了。又這麼幹了。」 ----史丹利。當時以為我不可能再看TOYZ的影片了，我還是太年輕了
185,Queena2114,toyz好棒
186,加密魯夫 CryptoLuffy,TOYZ真的狂!!另一種踢爆!
187,陳仲鈞,"椅子想請問一下
整片看完我的理解是
你們用的茶葉跟別人是同一家
但是你們還是用比別人更高等級的茶葉"
188,天目,toyz想請問是不是雞排店 早餐店 都這樣疊價搞呢?? 會不會是破解台灣物價迷思關鍵?
189,1994 112-,"有一種第六感 五年內會收 或是跟加盟主起糾紛
椅子初期做什麼都成功 但他就像實況界的兩津勘吉 最後做什麼都會爆"
190,野原新之助,Toyz真男人
191,老周,老闆娘 up up可愛唷 ，椅子為啥不提一下店址呢:D
192,施空空,前天去喝了一下這個價格這個品質非常有CP值，事實證明現在的手搖飲品牌方都是賺爛的ㄎㄎ，從加盟到出貨再到分潤還賺不只一手，椅子割一出手簡直就是照妖鏡ㄎㄎ
193,顏士彧,Toyz 請問你有喝過華得來的飲料嗎～是一間位在台中清水的飲料！目前有兩間店！也是料多實在，可以試試看！價錢又便宜
194,路人君,"only one adjective can describe toyz, that is handsome."
195,_Jupes_傑普斯,等之後被動到蛋糕的加盟主們會怎麼對付飲料椅子
196,孫道榮,我開過飲料店 確實如椅子說得這樣  椅子這個價錢確實佛 但還要回歸到客人身上 還是要有客人才能賺錢 椅子真的在革命飲料市場
197,WeiTsung Cheng,其實，toys 要做飲料店，館長酸沒有什麼道理，當年館長做健身房，也是很多人在做，沒有人逼你加盟飲料店。不過，toyz 飲料店是否可以，維持品質且用業界較低的價格給消費者，相信大家都很希望可以ㄧ直走下去，畢竟飲料80，90的真的買不太下去
198,Shibar,期待椅子在高雄有規劃開店，我目前還不知道有沒有
