,username,comment
752,張晉嘉,小劉 包完手要不要搞一集刺青相關的？
753,Lcharan,岔賭小劉甚麼時候復抽
754,Vivian T,13:15 Toyz算大嗎？
755,海姑阿,當被版權砲的小劉補血
756,Achiever,13:13 太大包了吧 小劉
757,林詡宸,我怎麼覺得椅子越來越像阿莫= =
758,mimi husky,小劉respect
759,齊爾專精厚里宋,Toyz敢不敢戒尻
760,Mark H,toyz也算少數會抽煙的聰明人，通常有抽菸的年輕人智商都偏低
761,Kei R6,Toyz 13:16 是晨勃嗎 腫脹欸
762,帥勾,小劉住南港？.？
763,,我的演算法裡面小劉從沒消失過...
764,jack wu Chu,"有人格魅力的YT創作者
不論多久沒有上片
依舊會留在觀眾心中不退去
期待Toyz未來的強檔大片~"
765,新,最近的直播有開的我幾乎都跟到，Toyz 真的是鬼才，直播互動比影片來說又更有生命力，Toyz請繼續帶給我們歡樂！
766,ⵉⵏⵖⵎⵉⵙⵏ,椅子哥 加油 開開心心才能拍出更好的內容 寧缺勿濫
767,仗助Josuke,精神小伙必須精神，看到椅子開心健康的直播看著看著就開心了起來
768,blockmo,"能從谷底爬起來，除了椅子也沒誰了
加油小劉！始終都很支持你"
769,20,最近Yt不知道看什麼 怎麼滑都沒想看的 幸好有小劉的直播跟直播精華 太好看了一定要繼續下去
770,單眼怪,看你拍片 直播 講話都很趣味 別消失阿 小劉~繼續堅持下去 祝團隊強大
771,Lisa Chang 珊珊,加油小劉！常看你的美食公道柏相關影片，感受到非常用心的去開箱好多的犧牲，非常謝謝你公義的發聲，有幫到了我認識很多美食，也對於我所需要實際看到的CP值有所幫助，接下來會持續在直播中支持你的，繼續加油喔！
772,He He,很喜歡toyz的lol精華，不用太多後製就很好笑，希望toyz爽的時候能在回歸一下，打開心也好就想看你打
773,張小咪,Toyz讚啦，掌握流量標題，美食慢慢來沒關係，太多街弄小巷的可以拍了。也恭喜精華頻道20萬了，衝超快的17萬到20萬美食公道伯
774,jay lawson,小劉厲害在自省速度快，懂見好就收，祝成為更成功的youtuber
775,陳柏帆,不管是影片還是直播 都是支持你的!小劉就是有梗
776,蘇靖,"感謝小劉的影片陪我吃飯
每次吃飯的時候邊看美食公道伯都會覺得自己的飯變得比較好吃"
777,8lok,一開始真的以為要退出youtuber直接嚇死。加油吧toyz，雖然不常看你片，但youtube要是沒了你感覺會很可惜
778,小紅,實況鬼才，椅子哥的精華或直播都很經典
779,YHL,Toyz真的是鬼才，經歷過那樣的風浪，能回到主流市場已經不容易，更別談能創作流量高峰，只能說屌…
780,HsuanHsuan,完全支持! 創作者也需要休息 小劉加油!
781,喵咪,"發現椅子美食公道伯都拍比較昂貴的料理
感覺可以CP值下去拍

或是最近的時事公道伯開個直播"
782,陳瓜,我好喜歡看椅子哥直播椅子哥加油
783,KARAM（馬馬）,個性作祟啊小劉，控制住自己的那個隨時出現的不滿足，拍出的都是好片，你看你根本就是深度省思但終究無法克服自己的本性，我是美食公道伯的忠實觀眾，期待你能拍出更多你認為平庸但我們也很喜愛的影片，你賣的商品常常是你這個人，而不是影片本身的內容，這也是ytb能成為大家生活一部分的原因
784,555 LEE,"直播鬼才,祝福案子順利,痛改前非阿 椅子"
785,J S⛈️,我幾乎都把多數娛樂性質的YouTuber 都給退訂了 通常就只留知識性的 只留極少數拍娛樂性的人 Toyz還是留著我 不知道為何從以前就很愛聽你的這張嘴講出所有實話幹話 ~️
786,懶蜻蜓,溫和小劉道歉的時候總是那麼的誠懇
787,Dean Hsia,"不管你片拍得多屌一定都會有酸民的，那怕砸個百來萬一年拍一隻也是一樣。
好好休息沉澱一下吧！還是很期待每周能看到椅子介紹美食的~~~"
788,Johnson Chan,不一定一定非要什麼強檔才能拍啦，toyz做toyz就好，多出片
789,Chiii,永遠支持toyz講洨話精華頻道
790,犬犬,椅子其實可以從拍高檔餐廳改成小街店家的訪吃 也是一種新系列
791,hsun,上次直播才在討論走鐘獎的事情，真的覺得椅子也不太需要那種東西，靠自己最實在了
792,agnes,愛死椅子了！！每天晚上都會坐等直播
793,Iiya A,只要監獄公道伯公審還在的一天 椅子是不會消失的
794,【宇智波比】LOnely_Ash,你的每一步影片每一次直播從來不會錯過 管他什麼演算法 上線先搜尋toyz就是了
795,Tonkey Ho,真正做人的Toyz特別好看
796,CX只會作夢,toyz的魅力讓人無法討厭他
797,Hitoshi,"椅子嘴果然厲害
美食公道伯都拍這麼久了才在反省"
798,Niunny Liu,"我竟然開頭差點崩潰
還好沒有不見
椅子+u啦~~~~~~~~
忠實麻粉 不是啦 忠實觀眾"
799,楊昌彬-聖光,"覺得Toyz會想這些很好
慢慢摸索，加油！"
800,林柏杰,加油Toyz 支持你
801,阿彌陀佛佛友頻道,我第一次看toyz的影片就上癮了，美食公道伯給我的感覺非常好
802,彥川流,有去吃椅子介紹的一些美食和餐廳，是真的不錯(有去吃信義區餐酒館，真心覺得滿好吃的，氣氛也好)，就算沒有美食公道伯好了，還是希望有介紹一些好吃的美食或其他餐廳。
803,小白,"覺得可以拍度假系列欸 去一些民宿或台灣的一些點玩 內容有一整套行程包含花費（也可以有奢華行程或平價行程）可以讓大家去旅遊的時候拿來參考 主要是我想看啦別人我不知道
但我覺得Toyz如果可以拍 也可以趁這個機會多看看台灣的風景跟妹子 放鬆一下度個假 讓自己心情輕鬆一點"
804,WX L,小劉 我們不能沒有你
805,火爆鳥,Ok遊戲公道伯，每晚九點直播去尋找單機遊戲或跟觀眾互動的遊戲來看這遊戲是否好玩。如果各位覺得這企劃不錯，幫我頂上去。椅子哥看到可以參考。
806,LSS,椅子的影片每次一出我都會配飯看 期待之後的影片
807,李恩綺的二叔公,椅子哥加油 希望衣服量出更多一些些🫡
808,老遠,看椅子直播還滿有趣的！
809,lin solomon,可以看見椅子，因為公道伯，發福了 哈哈
810,顏仕傑,吃太多美食了 Toyz都發福了 拜託大家讓他去減減肥吧
811,人生百態,永遠支持 小劉
812,YuY Heero,小劉越來越福相了
813,momo,"椅子哥我的超人
加油你的影片都超讚的"
814,陳宇軒,小劉真的是無所不在
815,宸銘,椅子哥絕對不會讓我失望的~
816,Ace card,何時把美食公道伯拍成美食粉絲公道伯一邊帶粉絲去吃一邊增加粉絲的好感度。然後椅子就會花更多錢，尤其是妹子，然後就被奈奈殺了。
817,Way's wish music 唯心音樂,"有觀眾就會問了，那什麼是非拍不可的餐廳呢？

小劉：我帳戶多了五十萬那種餐廳肯定是非常有靈魂的！"
818,克米亞,加油Toyz
819,Mark85,小劉只要搞耍，評論別人就很精彩了
820,S,我永遠記得Toyz 揭發 蕭x騰賣廉價食品的偉大事蹟，美食公道伯讚!
821,帥哥,希望能玩點遊戲，或許不是英雄聯盟也好，很喜歡看toyz玩遊戲，當然還是最喜歡看lol的
822,圍兜兜,小劉主播加油
823,ぼっちちゃん,越來越愛椅子了
824,Sheep_Lin,"我覺得公道伯系列
小劉跟Toyz評論還是有差啦
比較愛Toyz的"
825,Ronnie W,"現在副頻道的實況精華的娛樂效果已經超過主頻道了

那個在實況精華的小劉真的只有靠北而已"
826,小豪,拖椅子可以轉型成老高找故事講給觀眾聽
827,猊硯,演算法眷顧椅子哥
828,蓁,小劉又在開玩笑
829,妄想症,椅子有特別去學抑揚頓挫? 變好順
830,冬眠の蛙,"真的要退出YT了
TOYZ哥 4年2個月後見

-2022/11/24"
831,小包包,加油呀椅子
832,小柴,"蛤講真的啦 
有一說一
不管主題有沒有吸引我
只要椅子有影片"
833,審查長企業,椅子一定會爬起來的
834,E比鴨鴨,椅子轉型成為低卡公道伯 
835,Hungry Hungry,支持Toyz<3
836,Ren Tsai,就愛你直播 小劉
837,T.ø.p,"直播後的椅子真的太鬼 
天生直播的料"
838,阿豹,每天都在等椅子直播欸
839,yomin chang,"椅子圖奇沒有被永BAN阿,頻道還在,只是只剩一次機會再被BAN就真掰掰"
840,阿帆,椅子哥加油
841,最愛阿能的星雨,當時的椅子應該還沒想到現在會跟館長打的水深火熱XD
842,Ga vin,椅子的強檔非屬小孩與77不可了
843,Mark,椅子口條真的很好
844,陳東旭,拜託幾個勒 為什麼椅子說我們下個月見這句話 露出了燦爛笑容啊
845,可憐之人必有可恨支畜,永遠支持椅子的公審低能卡直播
846,小啾吉,果然是我親民的椅子哥
847,邯謝,我以為椅子要被遣送回香港了說。  然後直接送中（終）呢@_@
848,KELONG CHEN,坐等椅子哥強檔輸出
849,wu tiffany,toyz加油
850,R Jing,愛小劉，加油~~~
851,陳楨皓,唯一支持小劉
852,明示無,可以請小劉的剪輯師剪一集 狗也不吃的精華嘛
853,想不到要取啥,我還以為 Toyz變 阿堯了
854,喵肉球攻擊,小劉加油
855,清信掌,笑死 發了才發現小劉有停更 哭啊
856,parker,好了啦特哥椅子哥
857,Ian Chung,好了啦特哥椅子哥
858,凱爾,椅子可以拍拍旅遊景點 好像也不錯
859,KaiMi,還是超愛椅子啦讚
860,徐小發,"看到標題害我臉色特變
差點摔椅子XDDDDD"
861,小郭,椅子你嚇死我了 你知道嗎QAQ
862,Lil Bryant,一點進去就被椅子騙
863,玉米,我感覺到 小劉的靈魂了
864,無畏_塵,還是賣毒品比較有成就感比較開心對吧椅子
865,ckxxwei,椅子真的好有料……..
866,狐狸先生,"林老師咧～嚇得我屁滾尿流失了魂

YouTube 沒有Toyz的頻道,沒有開啟的必要！"
867,張西西Channel ◔.̮◔,toyz有在直播說做實境節目XD  敲碗敲碗
868,靓多,小劉~加油~~
869,CM PUNK,台灣美食指南我只信toyz
870,魯夫船長,笑果達人   椅子哥   !
871,Han,是我的錯覺還是我感覺小劉好像胖了⋯⋯
872,Randy chen,小劉，以前真討厭你，現在我改觀了，加油啦！
873,林彥廷,小劉最近越來越調皮了
874,呂小豪,各位大大 想請問 椅子這衣服有什麼故事跟背景 想了解 感謝各位
875,陳衍豪,椅子可以拍拍美食吃到飽系列  & 旅遊系列
876,野兔,小劉加油
877,鄭旻侖,椅子哥我的神
878,esn_1108,椅子我愛你
879,wei wei,有料欸小劉   又被你騙進來了
880,jung jung,"有人有椅子哥近期的歌單嗎?
或是他直播上放的歌
突然好想聽那幾首"
881,哲旭 林,你嚇到我了椅子
882,cenlo5,挺椅子！
883,Yichen Lin,小劉真有料
884,Godyr,圖奇只有第三個頻道ToyzTTV被永ban吧？Toyz和Toyzlolz頻道都還在啊。而且toyzttv不是被ban，頻道移除消息是“此頻道的內容已依照著作權所有人的要求移除 Content from this channel has been removed at the request of the copyright holder.” 如果是中培根要求移除的話，那之前兩個應該都沒事啊。
885,陳奕宇,會不會TOYZ覺得強檔，但觀眾覺得還好，沒有靈魂的反而一堆人要看
886,林俊宇,小劉是我留意y2影片的動力
887,西西,"可以拍佬港冰室茶餐廳吃到飽系列嗎？
在淡水 椅子哥我是你的10年粉絲"
888,Dude,請問小劉都是幾點直播
889,Christopher Cheng,Toyz真的好帥喔，我腿開開了
890,極櫺爺爺,可以拍類似信義趙又廷 風流港仔 北椅子 的企劃嗎
891,五円,小劉 我是你的新粉絲
892,RIM C,圖奇TOYZ頻道還在阿 是你永BAN圖奇吧
893,林伯諭,Toyz可以公道一下劉媽媽水餃嗎？一顆30多塊欸
894,傑斯特,只看誠實美食介紹椅子 ！！  其他都不看
895,Cheng,小劉在哪我就在哪 你拍什麼我就看什麼
896,Zhj,Toyz我能找人把你直播视频转到大陆B站么 大家都想看狱一中的直播视频 太他妈有节目效果了卧槽哈哈哈哈哈哈哈哈哈啊哈哈
897,ルミア,標題詐欺，不過加油
898,進藤光,“我就爛精華”那個頻道是不是已經變成“TOYZ實況精華”？
899,Ting-Lun Tsai,小劉 請你道歉
900,岳倫,電競不死鳥的死對頭小劉，居然也是不會死的嗎
901,張禎祥,小劉讚讚
902,輪輪,請問toyz現在在台灣還是香港?
903,閎翔,椅子不打英雄聯盟嗎
904,Walker Lin,小劉 從零開始還要拍嗎
905,花尚,"我吃過小劉介紹的每間
好吃的真的不一定好吃
但難吃的還真的沒有好吃的幹"
906,Jo Big,圖奇帳號還在阿  哪裡永BAN?   https://www.twitch.tv/toyz
907,Arvin Lin,請問為什麼Toyz圖奇被ban？
908,邵偉心,Toyz偉健你對近期台灣中壢淡水詐騙集團綁人殺人有什麼看法
909,& Y,椅子胖了？有點像杜汶澤了...？
910,wong Mr,那個toyz又要出黎搞事嗎
911,龍名,"■□●#@#$%＆%$#@¥₩■□●○□♤，被標題給騙了！
不知道Toyz有沒有新的，實話一開始美食確實介紹不少，但還是會膩的，不知道未來有沒有新的東西。"
912,林木木,這個不會哦哦叫的不是Toyz 應該是小劉
913,fai Wong,Toyz
914,QUQ T,小劉人咧
915,Steven Yang,Toyz88
916,Lu Terry,賀!! 看到Toyz 從深淵爬上來 到現在有業配 太感動了
917,arthur king,看到toyz又有業配了好開心
918,許智堯,我記得椅子你說過，港式三寶中你不是很愛吃燒肉，但是這家唯獨燒肉是你讚不絕口的一道
919,Shyrara蝦啦啦,就是喜歡你的直言不諱，論美食評比影片我只服Toyz
920,wei wei,椅子哥有沒有機會開一家港式餐廳，我一定吃爆
921,Shuai Lai,在台灣  有圓桌 價格翻倍   去看那些一般買晚餐的店  都是方形、長方形桌  甚至沒有內用  就算有桌子 椅子一定難坐 講求速度   價格才能壓下來
922,Edson Chen,想看TOYZ 吃吃看桃園的港式飲茶吃到飽 村民食堂 這間！
923,Panda Liu,TOYZ好像很多粵菜餐廳都噴   有推薦哪家好吃嗎
924,Arthur Wang,那Toyz有沒有想要在台投資平價實惠又美味的粵菜餐廳?
925,大可寶,Toyz 加油  很喜歡看你的影片
926,w rr,椅子雖然你不想拍片 但真的好好看拜託你你多拍點
927,Q.W.E.L,"椅子說到心坎裡在 港點跟法餐 台灣價錢都翻倍
份量也少的可憐"
928,Frank Yang,還是TOYZ來開飲茶餐廳XD~
929,Christian K,想看小劉吃RAW的評比.....
930,UoloU WvivW,身為香港人，我覺得很便宜。為什麼你會覺得貴？Toyz你被台灣化啦
931,kk nose Tang,小劉～牛肉不是沾醋 是喼汁好嗎～不過國語好似沒這個字
932,orochi,Toyz可以去品嚐看看-京州游嚴行嗎   好奇多美味
933,阿布丁,椅子要不要也評一下頂粵極品
934,Cyrus,Toyz 香港物價都升咗啦 站在香港人嘅角度睇 你喺香港去呢啲咁嘅酒店飲茶 價錢差唔多或者仲貴 除非你真係去嗰啲好集團式嘅酒樓先至會有你所講嘅價錢 如果唔係香港好多價錢都變咗㗎啦
935,Z LIN,台中的話應該是去金悅軒敲碗 椅子大大去拍一集
936,HSIANG,椅子是忘了香港的消費嗎~香港消費驚人阿~
937,A name,toyz評說叉燒跟燒肉的感覺就知道他來台灣前很窮，沒有在香港吃過好吃的。
938,Quan,起死回生Toyz
939,凱文,椅子這和香港的麗苑還是麗小館比呢？
940,YN,椅子的右手無名指戴著戒指欸
941,Ernie Lai,Toyz 真的很討厭蛋塔
942,阿雞蝨,"真的很謝謝toyz
你的影片總是能帶給我歡笑
陪我撐過人生中最困難的一段時期
我本來覺得自己快要撐不下去了"
943,陳祐,看了小劉吃雞排，我已經飽了，自從漲破80我永遠都只買杏鮑菇
944,云馨 李,很久沒聽Toyz講粵語了，不知道能不能做一集粵語版的美食公道伯
945,YiChung Huang,toyz在評價真的有比較收斂用詞了 好讚
946,Liu.Y.C,景美 張媽媽雞排  雖然80元 但大小不輸 百元雞排 還更好吃 推薦給 Toyz哥
947,吳承駿,其實椅子也可以出來賣雞排  店名就叫要邏輯有雞肉
948,Hon chung Wong,"Toyz
有沒有考慮跟千千
合作一起拍吃類型的影片？"
949,Thena Chen,看影片以後去吃小熊 味道很普 還有那個薄度 120真的是太雷了 我老公還問我椅子舌頭是不是壞了
950,brian chan,toyz 要是回香港會不會完全適應不來 這個物價真的差超級多
951,Ein,那個雞排那麼難吃，椅子是不是開始想念吃會客菜的雞排了
952,Rookie Roy,椅子可以開箱杰倫的滷味嗎
953,sam sam,"toyz直接在騎士碁門口旁邊,老闆可以聽得很清楚的距離,講一大串打槍的話然後給3分,這真的很白目吧"
954,leeremix4,"TOYZ 最近很缺錢,HAHA,更新那麼密"
955,yizhao lin,Toyz 勾惡說你以前幫過蛋塔 結果還被蛋塔背刺喔 真的嘛
956,童元,椅子哥哪去了？
957,FIZZ,只有我發現片尾小劉搭瑪莎他弟拍片嗎??????????????????????????
958,KT2design,不得不說這集的Toyz「終於」懂吃，美村路魚市米糕就是好吃！忠孝路的味泉米糕、民生嘉義米糕、狀元米糕、彩鳳米糕、芳台南米糕。都是不同類型的米糕
959,Serene,toyz的影片真的有一种魔力，我不喜欢吃米糕也会想看。反正toyz有关食物的影片我都不会错过
960,洪兆甫,米糕要吃大甲的阿松米糕真的配上辣椒一絕而且隔壁高中的體育班都是常客 已經是心中的第一名!!! @toyz 趕快去吃看看真比清水的還好吃
961,張景堯,台中宵夜美食！簡簡單單的小菜居然讓人出乎意料？讓人按奈不住瘋狂加點的居酒屋！【TOYZ】 魚市米糕 以前Toyz已經吃過了XD
962,justin chi,第一間王塔很好吃 Toyz 好像沒加到醬 加醬更提升
963,Potato,"看到toyz把吸管的包装 放进自己口袋
没乱丢垃圾 给个赞"
964,程子欣,有發現椅子反而吃小吃比較會有好話
965,b b,toyz可以做香港人日常飲食的單元嗎？之前的美食介紹都是粵菜館子 好奇一般香港人日常飲食是什麼？跟台灣的差別？謝謝
966,Nick Tsai,"椅子應該是比較喜歡吃偏軟口感的米糕, 這個看個人, 我喜歡偏Q的, 有口感的, 清水正統的米糕都是偏Q的, 個人偏好正牌米糕莊

清水人"
967,咻蹦閃,"椅子味覺真的可以
之前排隊去阿財想說這到底是啥小
不如吃家門口的再興米糕  還不用等
王塔有好吃一點點但是也沒必要特地去吃"
968,she2003,魚市米糕Toyz以前就去過啦～已經第二次被你評為好吃的店家了第一次去的連結https://youtu.be/y-F7cYAU2pA
969,吳昱鋒,toyz你一定要去吃大甲阿松米糕 真的爆幹好吃 拜託你去吃
970,楊叡顓,想不到TOYZ給大甲的米糕 評價這麼高....改天一定來去朝聖看看
971,Jheng Joe,"椅子你吃的都是3D油飯,南部米糕才是真的爽"
972,arthur king,原來toyz跟我一樣喜歡吃軟飯
973,洪琮閔,什麼時候要來高雄~~？？許願高雄椅子美食
974,CK FU,笑死toyz居然不懂阿財就是在吃那種硬米粒與醬的口感，阿財與王塔兩間口味不同，本來就不能拿來一起比較，只能說toyz不懂就別評測不然笑掉別人大牙
975,王曉鬼,想看椅子拍廖老大飲料店
976,羋麒麟餐飲,椅子這個眼鏡...食神？？？
977,阿羽,"1:40 這Toyz居然不知道 太驚訝了
米糕加棕葉就是 南部粽
油飯加棕葉就是 北部粽
不同的形態 不同的替身使者"
978,洪翎傑,"@Toyz 
假如你真的很想吃非常非常非常好吃的米糕
拜託你一定一定一定要去吃（台中忠孝路味泉米糕店）
保證不會失望"
979,Kyle Lin,這標題和封面 梯歐歪力真的走了 變成小劉
980,展,Toyz 你適合做吃的生意
981,狐狸先輩,TOYZ搬到台中了喔0.0  來過大甲 清水 @@~
982,陳柏勳,椅子來清水應該來找我 我可以帶妳吃還不錯吃的....
983,鄭貴峰,椅子是一定能信 人帥 刀猛 又帶種 砍的爺爺不要不要的
984,Lim Eunicee,第二家雞肉飯必須推！！而且椅子超懂吃，他們家就是要多加一分肉才過癮
985,王小猴,椅子真的懂吃 三家吃過兩家 東引花干真的優
986,shin shin Low,椅子怕牽連胖胖的朋友所以檯面上保持距離，但私底下還是可以約來吃個飯嘛 
987,mark holai,東引牛腱有酒香 非常好吃 椅子說花干很中肯 說是讚 強烈推薦
988,許哲瑋,椅子可以去試試東引快刀手，這是東引小吃的二代店，環境較明亮且有冷氣，口味有和東引小吃店稍微不同，不會那麼重口味，東引快刀手的豆皮可以試試！
989,吳旭智,跟椅子在東引常點的差不多，但他們的缺點就是某幾樣在某時會失水準，整體來說優質機率大概在八成。
990,arthur king,第一家光用看的應該就不錯吃 也難怪toyz很有把握
991,c0ssy c0ssy,想看椅子吃杰倫的滷味
992,專注於遊戲廢片的通哥,可以叫店家把一個桌子的桌號改成小劉了
993,煙小兒,看了TOYZ的知高飯之後 今天9/29 跑去三重嘗鮮...吃了非常的失望 不知道 是剛好運氣太好今天煮得太難吃還是怎樣~先說 知高飯 豬皮 完全沒有膠質感 瘦肉的部分 硬到一個爆炸 然後 滷汁味道超級淡 飯太偏軟爛  再來 筍絲的部分 更慘~完全沒味道 甚至 還有生水味 再來 菜頭湯 菜頭有 8 9塊 至少一半以上 菜頭吃起來 都會有苦味 唯一能說的就 他的湯頭 還能喝
994,顏冠,"平民小吃來我家吃!!!推薦牛雜、牛肉麵、麻醬麵、古早味拌麵,小菜苦瓜鹹蛋、蘭花乾，而且我爸(老闆)很會擺臭臉，開店得很隨意，要碰到有時候需要點小運氣，但也在地二十年了，有抖m屬性的都推薦來試試，強力推薦椅子來吃吃ＸＤ"
995,asd asd,想看椅子拍民生社區的nuts烤肉飯
996,宋竣閎,椅子哥推薦一家四川菜。便宜的川風椒麻店。可以吃吃看
997,JH HSIAO,N年前椅子有拍隔壁的司機俱樂部，那時就想怎不直接吃東引就好 !
998,棒動你心,我想知道椅子吃杰倫的滷味評價
999,Emerald Houng,"以前覺得椅子介紹看起來都很好吃
現在感覺攝影師畫面跟穿著 都差了那麼一些"
1000,SC Lin,我不愛吃 純粹喜歡toyz來看 哈哈
1001,阿酸教練跑跳蹦,"Toyz拍天津雞肉飯的時候我剛好也去買！
但不好意思合照"
1002,羋麒麟餐飲,椅子有沒有去吃最近一直在吵的魚肚粥？
1003,逐洋,"9:33
感覺剪輯在臭椅子沒朋友"
1004,五個O,椅子可以去吃吃看西門町的福建好吃雞肉嗎
1005,Ben Chui,椅子能不能做一集飲料的啊  廖老大
1006,Asd0910,"6:01 真的感慨
但說白了 大部分可能都是椅子的問題"
1007,jim chen,"椅子溫情喊話
統神不知道願不願意接受"
1008,Alan,"三重我推薦附近的71腿庫飯
我覺得比33年好吃
椅子可以去吃看看"
1009,A name,"toyz真的不是香港人了，雞怎樣做的嫩都不知道。
粵菜做雞有一個方法叫做浸雞，做出來就可以很嫩，基本是個香港人應該都知道"
1010,陳榤宏,第一家不好吃鴨toyz哥哥
1011,阿慶 Chill Ching,"之前推今大就知道 Toyz根本不懂吃了
從彰化上來 吃完差點氣死= ="
1012,皮克超,居然沒有椅子最愛的今大 =.=
1013,沁沁,都是些不健康，椅子身體要顧啊
1014,粥咻咻,椅子的口味很重吼。
1015,趙君君,終於等到酸菜魚了，當天還跟Toyz拍照，超親切️追蹤這麼久，總於見到本人了，開心
1016,JCL,這間我也有推過給TOYZ，可惜沒吃到小黃瓜，必點，這間個人覺得湯不是拿來喝的，有點是調味裡面的寬粉和魚肉的醬料，有一個很大的重點是魚肉都沒有刺!適合懶人
1017,李祖蔭,建議Toyz可以將影片的系列整合一下，做成「開箱」系列（包含網紅推薦與網友推薦），而四處扒趴走就歸類成「探店」系列（專門探訪網路評價高或低的店）
1018,林梓齊,椅子可惜小菜沒加點炸魚皮 真的超爽
1019,jack101282,"＠Toyz 台中沒有去喝審計新村的""芸蒔刻水果茶""太可惜了 
他們家水果茶真的是目前全台灣喝過最好喝的
水果味有茶味也有而且喝起來還很清爽
真的推薦椅子去喝看看"
1020,你家火燒,看完公道伯 都會覺得 椅子不是很懂吃什麼 亂吃一通 很可愛
1021,Gordon,Toyz推薦你一個真的很好吃的小吃就是樂成宮附近的豬雜湯，之前詹姆士也有採訪過說是會值得從台北下來吃的美食，真的很讚下次可以試試看！
1022,Stephen Fang,就知道椅子每次介紹飲料店老蕭都會中槍，現在又多了“料”老大作伴XD
1023,she2003,吳記十年前吃的時候就覺得還好，看到椅子的表情我就放心了
1024,Han Hsin Hsu,今天去了逢甲一家，台中最貴的飲料店n25，有一款$125的葡萄柚果咖，驚為天人！希望Toyz可以去開箱看看
1025,Chun Leong Sam,好想椅子来马来西亚 拍个马来西亚美食公道伯 
1026,劉文傑,希望小劉有機會來高雄拍！
1027,Brian Huang,推一下Toyz拍高雄南豐滷肉飯還有劉江便當，好幾年前的平價美味，好久沒吃了不知道現在怎樣
1028,J K,"好奇一問 台灣物價現在有這麼貴嗎  人均收入是多少？ 
常看椅子的影片 發現有很多餐廳價錢已經跟香港水平差不多"
1029,耕維 張,有一說一 椅子講評還是蠻中肯的
1030,大砲約跑換總仔,椅子的食記看起來就是很舒服
1031,Xi Zhang,推椅子去吃彰化的阿三肉圓 真的脆到爆炸  肉圓頂裂
1032,糸乃,推個蔡家豆花，椅子下次經過可以去吃吃看
1033,許許許,台中漢堡怎麼能不吃雙城 太菜啦小劉
1034,吳昱鋒,台中大甲阿松米糕 椅子一定要去吃
1035,Lonely涵光,"1:40 椅子英文
Burger 寫作 Burger
             讀作 Bager."
1036,哎唷不錯喔,椅子眼鏡影射的畫面太搶鏡了 很難專心聽椅子說啥……
1037,Sir,"漢堡有連歉意牌的好吃嗎
拖椅子喊在，拖椅子喊在"
1038,五股郎Neil,求小劉來五股吃美食
1039,林蜜蜂,李宗則不要再看椅子不回訊息了
1040,arthur king,"上次講和牛便當騙錢被告，這次還是要講, toyz果然有個性"
1041,C,椅子可以多拍一集金針菇烤肉組嗎？我想看到血流成河
1042,新寶,可惜沒有評論到金家ㄟ韓式烤肉組～好想看toyz評論這組產品。
1043,zzQ Z,"突然發現小劉評價的普通、還行對大部分的一般人來說可能會變成好吃
畢竟小劉算吃滿多高檔的食物ㄉ"
1044,哈老師,以後只想看到滿滿的剪輯   小劉在幕後配音好了QQ
1045,yizhao lin,toyz要養這麼多人喔 天啊
1046,Youkabu jYou,椅子表示 我愛上法院的感覺了 雖然之前笨過 但是講真話就是讚
1047,新月,謝謝小劉，這個正讚給會計師。
1048,龍鳳鯨,椅子哥是在為了跟阿航啾啾LOVELOVE的關係而做練習嗎?
1049,彥彥,想看toyz開箱金家ㄟ系列的～敲碗
1050,老蕭,中秋節快樂 椅子
1051,伊莉雅,果然還是toyz最挑，看來監獄裡的訓練還不夠
1052,Tommy,一個女友多種使用方式，行啊你小劉！
1053,UA L,看來椅子吸了不少 high爆啦
1054,Murasaki,Toyz 划不划算自己評論，還是Toyz：騙錢
1055,Cross Xiao,2:23其實小劉念的是二聲XDD
1056,吳克桁,能讓椅子業配以及找椅子業配的肯定是個狠角色
1057,yomin chang,"竟然還接的到飲料類葉配(非遊戲)!!! 真的覺得椅子要好好珍惜大家再次給你的機會,加油!"
1058,Cross Xiao,"如果小劉能這樣一直從善如流，甚至做公益，幫助人
我想這就是一個最好的改邪歸正的教材吧
加油小劉，不要再讓愛你的人難過了~"
1059,Taylor Lu,"Toyz的酒量是真的不行XDDD
但這家店感覺很不錯!
我下次也去試試!"
1060,張庭瑋,toyz喝醉的樣子好可愛( ･᷄ὢ･᷅ )
1061,歐宏偉,醉了醉了，這CP值真的醉了，連椅子都醉倒了
1062,簡小姐,顆顆還說放倒妹子呢，結果椅子哥自己醉啦！哈哈
1063,arthur king,想看椅子認真評價 反骨開的餐酒館
1064,Emilia C,醉到眼睛張不開，最後倒在椅子上做結尾，廠商這樣給過嗎？
1065,Kay Huang,椅子五杯調酒乾完茫了啦
1066,QQQ hinata,椅子加油
1067,Jerico Wu,看到小s直接倒讚，抱歉了椅子哥
1068,弇,"個人覺得，為商品業配沒問題
但是為餐廳業配就有失公道伯的本意了
就好比小劉常批評的，很多餐盤都是用買的一樣
這樣真的有公道嗎？"
1069,柏亨 江,椅子工商後自帶yt廣告...
1070,晞翼シーイ,"雖然椅子覺得旋轉電視牆不實用
但我搬家的時候有拿來借鏡
土炮做了一個旋轉電視櫃
中空的成本才兩千"
